path,filename,extension,directory,category,sub_category,status,customer_impact,purpose,lines
scripts/ops/hoc_function_inventory_generator.py,hoc_function_inventory_generator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,Extract flat function inventory from L5/L6/L7 files — one row per function/method with caller/callee/side-effect metadata,491
scripts/ops/hoc_intent_classifier.py,hoc_intent_classifier.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,"Classify intent per function from FUNCTION_INVENTORY.csv — adds intent, intent_confidence, intent_reason columns",263
scripts/ops/hoc_layer_inventory.py,hoc_layer_inventory.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,HOC Layer Inventory Generator,583
scripts/ops/hoc_phase0_manifest_generator.py,hoc_phase0_manifest_generator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,one-time-migration,none,HOC Phase 0 — Migration Manifest Generator,428
scripts/ops/hoc_phase3_domain_locker.py,hoc_phase3_domain_locker.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,HOC Phase 3 — Domain Locker,326
scripts/ops/hoc_phase3_migrate.py,hoc_phase3_migrate.py,.py,scripts/ops,architecture-analysis,hoc-analysis,one-time-migration,none,HOC Phase 3 Migration Script,817
scripts/ops/hoc_phase4_post_migration_validator.py,hoc_phase4_post_migration_validator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,one-time-migration,none,HOC Phase 4 — Post-Migration Validation,489
scripts/ops/hoc_phase5_duplicate_detector.py,hoc_phase5_duplicate_detector.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,HOC Phase 5 — Duplicate Detection,627
scripts/ops/hoc_placement_analyzer.py,hoc_placement_analyzer.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,Placement decisions + duplicate detection from classified function inventory,333
scripts/ops/hoc_spine_study_validator.py,hoc_spine_study_validator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,HOC Spine literature study validator — extracts function/class metadata from hoc_spine scripts,1252
scripts/ops/l5_orphan_classifier.py,l5_orphan_classifier.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,L5 orphan classifier — classifies orphaned L5 engines by intra-domain usage,733
scripts/ops/l5_spine_pairing_gap_detector.py,l5_spine_pairing_gap_detector.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,"L5 → HOC Spine pairing gap detector — finds L5 engines called directly by L2, not wired through L4",691
scripts/ops/layer_validator.py,layer_validator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,none,BLCA — Bidirectional Layer Consistency Auditor,903
scripts/ops/scripts_registry_generator.py,scripts_registry_generator.py,.py,scripts/ops,architecture-analysis,hoc-analysis,active,indirect,"Walk scripts/ + tools/, classify each script into category/sub_category/status/customer_impact",398
scripts/ops/system_bloat_audit.sh,system_bloat_audit.sh,.sh,scripts/ops,architecture-analysis,hoc-analysis,active,none,Layer: L8 — Catalyst / Meta,239
scripts/inventory/find_unknown_files_v2.py,find_unknown_files_v2.py,.py,scripts/inventory,architecture-analysis,inventory,active,none,Find files with layer=UNKNOWN (handles both Python and TS),174
scripts/inventory/full_inventory.py,full_inventory.py,.py,scripts/inventory,architecture-analysis,inventory,active,none,Complete Codebase Inventory vs Layered Inventory,573
scripts/inventory/l1_api_usage.py,l1_api_usage.py,.py,scripts/inventory,architecture-analysis,inventory,active,indirect,Find API calls referenced in frontend code (L1),186
scripts/inventory/l2_api_inventory.py,l2_api_inventory.py,.py,scripts/inventory,architecture-analysis,inventory,active,indirect,Extract all L2 API routes from FastAPI codebase,237
scripts/inventory/l8_signal_inventory.py,l8_signal_inventory.py,.py,scripts/inventory,architecture-analysis,inventory,active,none,Scan L8 artifacts for signal emission patterns,223
scripts/inventory/l8_to_l2_binding.py,l8_to_l2_binding.py,.py,scripts/inventory,architecture-analysis,inventory,active,none,Analyze signal consumption from L8 to L2 layer,228
scripts/inventory/signal_auditor.py,signal_auditor.py,.py,scripts/inventory,architecture-analysis,inventory,active,none,Signal Registry Auditor (Observe-Only Mode),475
scripts/ops/sce/passes/pass_1_layers.py,pass_1_layers.py,.py,scripts/ops/sce/passes,architecture-analysis,sce-extraction,active,none,Pass 1 - Layer & Boundary Indexing,356
scripts/ops/sce/passes/pass_2_metadata.py,pass_2_metadata.py,.py,scripts/ops/sce/passes,architecture-analysis,sce-extraction,active,none,Pass 2 - Semantic Claim Extraction,337
scripts/ops/sce/passes/pass_3_mechanics.py,pass_3_mechanics.py,.py,scripts/ops/sce/passes,architecture-analysis,sce-extraction,active,none,Pass 3 - Mechanical Observation,321
scripts/ops/sce/passes/pass_4_diff.py,pass_4_diff.py,.py,scripts/ops/sce/passes,architecture-analysis,sce-extraction,active,none,Pass 4 - Diff & Drift Detection,395
scripts/ops/sce/sce_runner.py,sce_runner.py,.py,scripts/ops/sce,architecture-analysis,sce-extraction,active,none,Signal Circuit Enumerator CLI entrypoint,650
scripts/semantic_auditor/correlation/declared_semantics.py,declared_semantics.py,.py,scripts/semantic_auditor/correlation,architecture-analysis,semantic-audit,active,none,Declared Semantics Loader,195
scripts/semantic_auditor/correlation/delta_engine.py,delta_engine.py,.py,scripts/semantic_auditor/correlation,architecture-analysis,semantic-audit,active,none,Semantic Delta Engine,224
scripts/semantic_auditor/correlation/observed_behavior.py,observed_behavior.py,.py,scripts/semantic_auditor/correlation,architecture-analysis,semantic-audit,active,none,Observed Behavior Aggregator,182
scripts/semantic_auditor/registry/semantic_contract_index.py,semantic_contract_index.py,.py,scripts/semantic_auditor/registry,architecture-analysis,semantic-audit,active,none,Semantic Contract Index,147
scripts/semantic_auditor/registry/semantic_coordinate_map.py,semantic_coordinate_map.py,.py,scripts/semantic_auditor/registry,architecture-analysis,semantic-audit,active,none,Semantic Coordinate Map,154
scripts/semantic_auditor/reporting/renderers/json.py,json.py,.py,scripts/semantic_auditor/reporting/renderers,architecture-analysis,semantic-audit,active,none,JSON Report Renderer,117
scripts/semantic_auditor/reporting/renderers/markdown.py,markdown.py,.py,scripts/semantic_auditor/reporting/renderers,architecture-analysis,semantic-audit,active,none,Markdown Report Renderer,175
scripts/semantic_auditor/reporting/report_builder.py,report_builder.py,.py,scripts/semantic_auditor/reporting,architecture-analysis,semantic-audit,active,none,Report Builder,208
scripts/semantic_auditor/reporting/risk_model.py,risk_model.py,.py,scripts/semantic_auditor/reporting,architecture-analysis,semantic-audit,active,none,Risk Model Definitions,169
scripts/semantic_auditor/runner.py,runner.py,.py,scripts/semantic_auditor,architecture-analysis,semantic-audit,active,none,CLI Entry Point,260
scripts/semantic_auditor/scanner/ast_loader.py,ast_loader.py,.py,scripts/semantic_auditor/scanner,architecture-analysis,semantic-audit,active,none,AST Loader and Analyzer,302
scripts/semantic_auditor/scanner/file_classifier.py,file_classifier.py,.py,scripts/semantic_auditor/scanner,architecture-analysis,semantic-audit,active,none,File Role Classifier,308
scripts/semantic_auditor/scanner/repo_walker.py,repo_walker.py,.py,scripts/semantic_auditor/scanner,architecture-analysis,semantic-audit,active,none,Repository File Walker,180
scripts/semantic_auditor/signals/affordance.py,affordance.py,.py,scripts/semantic_auditor/signals,architecture-analysis,semantic-audit,active,none,Affordance Signal Detector,184
scripts/semantic_auditor/signals/authority.py,authority.py,.py,scripts/semantic_auditor/signals,architecture-analysis,semantic-audit,active,none,Authority Signal Detector,194
scripts/semantic_auditor/signals/execution.py,execution.py,.py,scripts/semantic_auditor/signals,architecture-analysis,semantic-audit,active,none,Execution Signal Detector,159
scripts/semantic_auditor/signals/layering.py,layering.py,.py,scripts/semantic_auditor/signals,architecture-analysis,semantic-audit,active,none,Layering Signal Detector,282
scripts/ops/hoc_capability_doc_generator.py,hoc_capability_doc_generator.py,.py,scripts/ops,architecture-literature,hoc-literature,active,none,"Generate per-domain DOMAIN_CAPABILITY.md with operations, helpers, persistence, and non-features",331
scripts/ops/hoc_domain_literature_csv.py,hoc_domain_literature_csv.py,.py,scripts/ops,architecture-literature,hoc-literature,active,none,CSV export of domain literature — crisp function/purpose + L4→L5→L6→L7 linkage chain,558
scripts/ops/hoc_domain_literature_generator.py,hoc_domain_literature_generator.py,.py,scripts/ops,architecture-literature,hoc-literature,active,none,Domain literature generator — extracts AST metadata from L5/L6/L7 files for keep/modify/quarantine evaluation,869
scripts/ops/hoc_feature_extractor.py,hoc_feature_extractor.py,.py,scripts/ops,architecture-literature,hoc-literature,active,indirect,Extract customer-facing features by grouping operations across domains into user-intent features,326
scripts/ops/hoc_literature_generator.py,hoc_literature_generator.py,.py,scripts/ops,architecture-literature,hoc-literature,active,none,HOC Literature Generator — Prescriptive Architecture Documentation,1507
scripts/ci/c2_guardrails/gr1_import_isolation.sh,gr1_import_isolation.sh,.sh,scripts/ci/c2_guardrails,ci-validation,guardrails,active,indirect,=============================================================================,47
scripts/ci/c2_guardrails/gr2_advisory_enforcement.sh,gr2_advisory_enforcement.sh,.sh,scripts/ci/c2_guardrails,ci-validation,guardrails,active,indirect,=============================================================================,55
scripts/ci/c2_guardrails/gr3_replay_blindness.sh,gr3_replay_blindness.sh,.sh,scripts/ci/c2_guardrails,ci-validation,guardrails,active,indirect,=============================================================================,51
