domain,capability_id,capability_name,applicable,decision,confidence,questions_answered,question_count,trust_weight,console_scope,status,notes
ACTIVITY,CAP-001,Execution Replay & Activity,True,CONSUME,1.0,"ACT-Q5, ACT-Q6",2,HIGH,CUSTOMER,FIRST_CLASS,Primary:4 Secondary:2 Questions:2
ACTIVITY,CAP-011,M28 Governance Orchestration,True,CONSUME,0.95,ACT-Q6,1,HIGH,FOUNDER,FIRST_CLASS,Primary:2 Secondary:0 Questions:1
ACTIVITY,CAP-016,Skill System (M2/M3),True,CONSUME,0.95,ACT-Q6,1,HIGH,SDK,FIRST_CLASS,Primary:2 Secondary:2 Questions:1
ACTIVITY,CAP-002,Cost Simulation V2,True,CONSUME,0.85,ACT-Q6,1,HIGH,CUSTOMER,FIRST_CLASS,Primary:1 Secondary:1 Questions:1
ACTIVITY,CAP-008,M12 Multi-Agent Orchestration,True,CONSUME,0.85,ACT-Q6,1,MEDIUM,SDK,FIRST_CLASS,Primary:2 Secondary:0 Questions:1
ACTIVITY,CAP-012,M4 Workflow Engine,True,CONSUME,0.85,ACT-Q6,1,MEDIUM,NONE,FIRST_CLASS,Primary:2 Secondary:0 Questions:1
ACTIVITY,CAP-020,CLI Execution,True,CONSUME,0.85,ACT-Q6,1,MEDIUM,NONE,FIRST_CLASS,Primary:2 Secondary:0 Questions:1
ACTIVITY,CAP-021,SDK Execution,True,CONSUME,0.85,ACT-Q6,1,HIGH,NONE,FIRST_CLASS,Primary:1 Secondary:0 Questions:1
ACTIVITY,CAP-019,Run Management,True,CONSUME,0.6,,0,MEDIUM,SDK,FIRST_CLASS,Primary:1 Secondary:1 Questions:0
ACTIVITY,SUB-018,Run Execution & Dispatch,True,DEFER,0.55,ACT-Q6,1,MEDIUM,NONE,SUBSTRATE,Low confidence. Primary:2 Secondary:2
ACTIVITY,CAP-003,Policy Proposals,True,DEFER,0.5,,0,MEDIUM,CUSTOMER,FIRST_CLASS,Low confidence. Primary:1 Secondary:0
ACTIVITY,SUB-003,Task Scheduling Substrate,True,DEFER,0.45,ACT-Q6,1,LOW,NONE,SUBSTRATE,Low confidence. Primary:1 Secondary:0
ACTIVITY,SUB-009,Agent Goal Submission,True,DEFER,0.45,ACT-Q6,1,MEDIUM,NONE,SUBSTRATE,Low confidence. Primary:1 Secondary:0
ACTIVITY,CAP-007,Authorization (RBAC v2),True,DEFER,0.4,,0,MEDIUM,NONE,FIRST_CLASS,Low confidence. Primary:1 Secondary:0
ACTIVITY,SUB-010,Agent Run Monitoring,False,REJECT,0.2,,0,MEDIUM,NONE,SUBSTRATE,Below threshold. Confidence:0.20
ACTIVITY,SUB-007,Container Runtime Substrate,False,REJECT,0.1,,0,LOW,NONE,SUBSTRATE,Below threshold. Confidence:0.10
ACTIVITY,SUB-014,Agent Job Distribution,False,REJECT,0.1,,0,MEDIUM,NONE,SUBSTRATE,Below threshold. Confidence:0.10
ACTIVITY,SUB-020,External Delivery & Outbox,False,REJECT,0.1,,0,MEDIUM,NONE,SUBSTRATE,"Secondary keywords only, no questions answered"
ACTIVITY,CAP-004,C2 Prediction Plane,False,REJECT,0.0,,0,MEDIUM,CUSTOMER,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-005,Founder Console,False,REJECT,0.0,,0,HIGH,FOUNDER,FIRST_CLASS,Excluded by domain keywords
ACTIVITY,CAP-006,Authentication,False,REJECT,0.0,,0,MEDIUM,NONE,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-009,M19 Policy Engine,False,REJECT,0.0,,0,HIGH,CUSTOMER,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-010,M17 CARE-L Routing,False,REJECT,0.0,,0,MEDIUM,NONE,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-013,M5 Learning Pipeline,False,REJECT,0.0,,0,MEDIUM,NONE,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-014,M7 Memory System,False,REJECT,0.0,,0,MEDIUM,CUSTOMER,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-015,M22 Optimization Engine,False,REJECT,0.0,,0,MEDIUM,NONE,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-017,Cross-Project Aggregation,False,REJECT,0.0,,0,MEDIUM,FOUNDER,FIRST_CLASS,No keyword or question match
ACTIVITY,CAP-018,M25 Integration Platform,False,REJECT,0.0,,0,MEDIUM,CUSTOMER,FIRST_CLASS,No keyword or question match
ACTIVITY,SUB-001,Database Connection Pool,False,REJECT,0.0,,0,LOW,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-002,Cache Substrate,False,REJECT,0.0,,0,LOW,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-004,Observability Substrate,False,REJECT,0.0,,0,LOW,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-005,Migration Substrate,False,REJECT,0.0,,0,LOW,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-006,Configuration Substrate,False,REJECT,0.0,,0,LOW,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-008,Agent Lifecycle Management,False,REJECT,0.0,,0,MEDIUM,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-011,Agent Memory Operations,False,REJECT,0.0,,0,MEDIUM,NONE,SUBSTRATE,No keyword or question match
ACTIVITY,SUB-012,Agent Message Queue,False,REJECT,0.0,,0,MEDIUM,NONE,SUBSTRATE,No keyword or question match
