capability_id,domain,capability_name,description,mode,scope,mutates_state,bulk_support,latency_profile,execution_style,reversibility,authority_required,adapters,operators,confidence_level,l2_1_aligned,l2_1_surface,risk_flags
CAP-OVW-HEALTH,Overview,Get Platform Health,Get system health overview (BLCA status lifecycle coherence),READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,(direct SQL),get_platform_health,HIGH,NO,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,ADAPTER BYPASSED; Founder-only
CAP-OVW-CAPS,Overview,Get Capabilities Eligibility,Get all capabilities with eligibility status,READ,BULK,NO,YES,LOW,SYNC,N/A,NONE,(direct SQL),get_capabilities_eligibility,HIGH,NO,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,ADAPTER BYPASSED; HARDCODED MAP
CAP-OVW-DOMAIN,Overview,Get Domain Health,Get health for specific domain,READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,(direct SQL),get_domain_health,HIGH,NO,(not seeded),ADAPTER BYPASSED
CAP-OVW-CAP-DETAIL,Overview,Get Capability Health,Get health for specific capability with blocking reasons,READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,(direct SQL),get_capability_health,HIGH,NO,(not seeded),ADAPTER BYPASSED
CAP-OVW-ELIGIBILITY,Overview,Quick Eligibility Check,Fast eligibility check for single capability,READ,SINGLE,NO,NO,VERY LOW,SYNC,N/A,NONE,(direct SQL),check_capability_eligibility,HIGH,NO,(not seeded),ADAPTER BYPASSED
CAP-ACT-LIST,Activity,List Activities,List activities for tenant with pagination and filters,READ,BULK,NO,YES,LOW,SYNC,N/A,NONE,CustomerActivityAdapter,list_activities(),HIGH,YES,ACTIVITY.EXECUTIONS.ACTIVE_RUNS,None
CAP-ACT-DETAIL,Activity,Get Activity Detail,Get detailed activity information for a run,READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,CustomerActivityAdapter,get_activity(),HIGH,YES,ACTIVITY.EXECUTIONS.RUN_DETAILS,None
CAP-INC-LIST,Incidents,List Incidents,List incidents with pagination and filters,READ,BULK,NO,YES,LOW,SYNC,N/A,NONE,CustomerIncidentsAdapter,list_incidents(),HIGH,YES,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,None
CAP-INC-GET,Incidents,Get Incident Detail,Get incident detail with timeline events,READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,CustomerIncidentsAdapter,get_incident(),HIGH,YES,INCIDENTS.ACTIVE_INCIDENTS.INCIDENT_DETAILS,None
CAP-INC-ACK,Incidents,Acknowledge Incident,Mark incident as acknowledged create timeline event,WRITE,SINGLE,YES,NO,LOW,SYNC,UNKNOWN,HUMAN,CustomerIncidentsAdapter,acknowledge_incident(),MEDIUM,YES,INCIDENTS.ACTIVE_INCIDENTS.INCIDENT_DETAILS,REVERSIBILITY UNKNOWN; IDEMPOTENCY UNCLEAR
CAP-INC-RESOLVE,Incidents,Resolve Incident,Mark incident as resolved with optional notes,WRITE,SINGLE,YES,NO,LOW,SYNC,UNKNOWN,HUMAN,CustomerIncidentsAdapter,resolve_incident(),MEDIUM,YES,INCIDENTS.ACTIVE_INCIDENTS.INCIDENT_DETAILS,REVERSIBILITY UNKNOWN; NOTES PERSISTENCE UNCLEAR
CAP-INC-SEARCH,Incidents,Search Incidents,Search incidents with filters,READ,BULK,NO,YES,MEDIUM,SYNC,N/A,NONE,(direct in guard.py),search_incidents(),HIGH,PARTIAL,(not seeded),Should add to seed
CAP-INC-TIMELINE,Incidents,Get Decision Timeline,Get step-by-step decision trace,READ,SINGLE,NO,NO,MEDIUM,SYNC,N/A,NONE,(direct in guard.py),get_decision_timeline(),HIGH,PARTIAL,(not seeded),Should add to seed
CAP-INC-NARRATIVE,Incidents,Get Customer Narrative,Get calm vocabulary summary,READ,SINGLE,NO,NO,LOW,SYNC,N/A,NONE,(direct in guard.py),get_customer_incident_narrative(),HIGH,PARTIAL,(not seeded),M29 Calm Vocabulary
CAP-INC-EXPORT,Incidents,Export Evidence Report,Export incident as legal-grade PDF,READ,SINGLE,NO,NO,HIGH,SYNC,N/A,NONE,(direct in guard.py),export_incident_evidence(),HIGH,PARTIAL,(not seeded),HIGH LATENCY
CAP-POL-CONSTRAINTS,Policies,Get Policy Constraints,Get policy constraints summary (budget rate limits guardrails),READ,SINGLE,NO,NO,LOW,ASYNC,N/A,NONE,CustomerPoliciesAdapter,get_policy_constraints(),HIGH,YES,POLICIES.ACTIVE_POLICIES.BUDGET_POLICIES,None
CAP-POL-GUARDRAIL,Policies,Get Guardrail Detail,Get detail for a specific guardrail,READ,SINGLE,NO,NO,LOW,ASYNC,N/A,NONE,CustomerPoliciesAdapter,get_guardrail_detail(),HIGH,YES,POLICIES.ACTIVE_POLICIES.APPROVAL_RULES,Threshold values redacted (intentional)
CAP-LOG-LIST,Logs,List Logs,List execution logs with filters and pagination,READ,BULK,NO,YES,MEDIUM,ASYNC,N/A,NONE,CustomerLogsAdapter,list_logs(),HIGH,YES,LOGS.EXECUTION_TRACES.TRACE_DETAILS,None
