skeptical_flag,script_path,domain,layer_bucket,csv_uc_id,final_uc_id,match_status,confidence,evidence_source,explicit_uc_hits,skeptical_note
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L5_engines/cost_anomaly_detector_engine.py,analytics,L5_ENGINE,,UC-024,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-024,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L5_engines/cost_snapshots_engine.py,analytics,L5_ENGINE,,UC-027,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-027,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L5_engines/cost_write.py,analytics,L5_ENGINE,,UC-028,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-028,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L5_engines/datasets_engine.py,analytics,L5_ENGINE,,UC-026,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-026,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L5_engines/prediction_engine.py,analytics,L5_ENGINE,,UC-025,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-025,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L6_drivers/cost_anomaly_driver.py,analytics,L6_DRIVER,,UC-024,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-024,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L6_drivers/cost_write_driver.py,analytics,L6_DRIVER,,UC-028,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-028,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/analytics/L6_drivers/prediction_driver.py,analytics,L6_DRIVER,,UC-025,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-025,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/controls/L6_drivers/limits_read_driver.py,controls,L6_DRIVER,,UC-021,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-021,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/hoc_spine/orchestrator/handlers/policies_sandbox_handler.py,hoc_spine,L4_HANDLER,,UC-022,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-022,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L5_engines/incident_pattern.py,incidents,L5_ENGINE,,UC-031,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-031,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L5_engines/policy_violation_engine.py,incidents,L5_ENGINE,,UC-030,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-030,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L5_engines/postmortem.py,incidents,L5_ENGINE,,UC-031,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-031,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L5_engines/recovery_rule_engine.py,incidents,L5_ENGINE,,UC-029,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-029,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L6_drivers/incident_pattern_driver.py,incidents,L6_DRIVER,,UC-031,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-031,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L6_drivers/policy_violation_driver.py,incidents,L6_DRIVER,,UC-030,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-030,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/incidents/L6_drivers/postmortem_driver.py,incidents,L6_DRIVER,,UC-031,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-031,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/logs/L5_engines/redact.py,logs,L5_ENGINE,,UC-032,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-032,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/logs/L6_drivers/redact.py,logs,L6_DRIVER,,UC-032,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-032,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/policies_limits_query_engine.py,policies,L5_ENGINE,,UC-021,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-021,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/policies_proposals_query_engine.py,policies,L5_ENGINE,,UC-019,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-019,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/policies_rules_query_engine.py,policies,L5_ENGINE,,UC-020,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-020,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/policy_conflict_resolver.py,policies,L5_ENGINE,,UC-023,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-023,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/sandbox_engine.py,policies,L5_ENGINE,,UC-022,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-022,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L5_engines/snapshot_engine.py,policies,L5_ENGINE,,UC-018,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-018,Recovered from blank/legacy uc_id; requires owner review.
RECOVERED_FROM_LEGACY_OR_BLANK,app/hoc/cus/policies/L6_drivers/optimizer_conflict_resolver.py,policies,L6_DRIVER,,UC-023,MATCHED_FROM_EXPLICIT_ANCHOR,HIGH,EXPLICIT_ONLY,UC-023,Recovered from blank/legacy uc_id; requires owner review.
