migration_id,current_path,current_domain,current_layer,target_domain,target_layer,target_path,reason,status,hash_source,hash_target
M001,backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,activity,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/threshold_driver.py,"Accesses Limit and LimitBreach tables which belong to controls domain. The model is from `policy_control_plane`. The qualifier is ""WHAT limits apply"" (controls), not ""WHAT ran"" (activity). Header incorrectly says ""Scope: domain (activity)"" but data is controls-owned.",MOVED,5dd0c83c8511ca14c36ced0395193332462eb48f476a08df0a6ea6e78a5b4623,
M002,backend/app/hoc/cus/account/L5_notifications/engines/channel_engine.py,account,L4 — Domain Engine (in L5_notifications/engines/ path),integrations,L4 — Domain Engine (in L5_notifications/engines/ path),backend/app/hoc/cus/integrations/L5_notifications/engines/channel_engine.py,"Manages external system connections (Slack, PagerDuty, Teams, webhooks). Tests connectivity. Handles delivery to external channels. Matches integrations qualifier: ""webhook"", ""connector"", ""integration config"". Cross-domain callers (incidents, policies) use this to connect to external systems.",MOVED,5ad5feb23fc063425ac469c7724f6b4fedcd6962fff6e987a2dfe42a1b16f246,
M003,backend/app/hoc/cus/account/L5_support/CRM/engines/audit_engine.py,account,L8 — Catalyst / Verification,logs,L8 — Catalyst / Verification,backend/app/hoc/cus/logs/L5_support/CRM/engines/audit_engine.py,"Audit engine that reads frozen evidence and produces authoritative verdicts. ""Evidence is preserved"", ""Verdicts are immutable"". Matches logs: ""audit trail"", ""evidence record"", ""proof"".",MOVED,e8b4e2ba6d0dce427814b9be882140e77cff0ab2415b026a40aa2c049302fb98,
M004,backend/app/hoc/cus/account/L5_support/CRM/engines/job_executor.py,account,L5 — Execution & Workers,general,L5 — Execution & Workers,backend/app/hoc/cus/general/L5_support/CRM/engines/job_executor.py,"System-wide execution engine. Coordinates job step execution. ""WHEN and HOW actions execute"" matches general's ""execution coordinator"", ""workflow orchestration"". Not account-specific - it's infrastructure.",MOVED,c65a1e6a7836024bdecccb5b5160a645a6ee63a9f7b289a6d0a69a2d70c4e1e8,
M005,backend/app/hoc/cus/account/L6_drivers/worker_registry_driver.py,account,L6 — Domain Driver,integrations,L6 — Domain Driver,backend/app/hoc/cus/integrations/L6_drivers/worker_registry_driver.py,"Workers are external processing units/connectors. Worker discovery = finding available integration points. WorkerRegistry/WorkerConfig = integration configuration. Matches integrations: ""connector"", ""adapter"", ""integration config"".",MOVED,370dd2968acaecfc275a35fc869dc994481c898b888f52bbd858b751ed9473d3,
M006,backend/app/hoc/cus/analytics/L5_engines/alert_worker.py,analytics,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/alert_worker.py,"Retry logic and execution orchestration. ""retry logic"" is explicitly in general's qualifier_phrases. The content of alerts (cost metrics) is analytics, but this worker is about delivery mechanism/orchestration.",MOVED,ed30b9e5302c419a440cf8d6caeb029e2f7f0b28ccbbdfe6d09efba05c53f94f,
M007,backend/app/hoc/cus/analytics/L5_engines/cb_sync_wrapper.py,analytics,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/cb_sync_wrapper.py,"Circuit breaker functionality. ""circuit breaker"" is explicitly in controls' qualifier_phrases. This is about system limits/safety controls, not analytics.",MOVED,2adac3c8647ac510b8041af3b52976ab5ea6ae9fef18973ccc76d9410b031fe1,
M008,backend/app/hoc/cus/analytics/L5_engines/killswitch.py,analytics,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/killswitch.py,"""killswitch"" is EXPLICITLY in controls' qualifier_phrases. Emergency stop = system limit/control.",MOVED,c230ed84958bcc7ab84b0374ae6b6d7c3302e4417af2ac90ae337775110652be,
M009,backend/app/hoc/cus/analytics/L5_engines/manager.py,analytics,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/manager.py,"Envelope lifecycle management = orchestration. Coordinates envelope application and rollback. Matches general: ""workflow orchestrat"", ""coordinator"".",MOVED,face0e7b37a6f74b8b722ab00a3488ecd10f67667e6c2d8c85ac63b10fd1fedf,
M010,backend/app/hoc/cus/analytics/L5_engines/s2_cost_smoothing.py,analytics,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/s2_cost_smoothing.py,"Envelope defines LIMITS on system behavior (max_concurrent_jobs). ""throttle"" in controls qualifiers. The envelope is a control mechanism, even if triggered by analytics predictions.",MOVED,de1f63809bc502c1ad42a2bf7ebc6efcf2e6fa1bf0952b99986c7a6c20e9499c,
