capability_id,canonical_name,status,lifecycle_state,promotion_origin,trust_weight,claimed_console_scope,claimed_exposure_type,claimed_role,determinism_claim,mutability_claim,replay_claim,export_claim,owner,layer,has_routes,route_count,has_sdk_methods,sdk_method_count,has_commands,command_count,pin329_mentioned,merged_from_count,has_justification,governance_notes,normalization_notes
CAP-001,Execution Replay & Activity,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,control,deterministic,write,yes,unknown,platform,,True,34,False,0,False,0,True,2,False,Agent Autonomy capabilities (LCAP-001 to LCAP-010) are internal system behavior that should never be user-invokable. They are reclassified as SUBSTRATE.,Merged from 2 LCAPs
CAP-002,Cost Simulation V2,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,control,mixed,write,unknown,unknown,platform,,True,21,False,0,False,0,True,0,False,| LCAP-002 | SUB-009 | Agent Goal Submission | Internal system behavior |,
CAP-003,Policy Proposals,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,advisory,mixed,read,unknown,unknown,platform,,True,4,False,0,False,0,True,0,False,| LCAP-003 | SUB-010 | Agent Run Monitoring | Internal system behavior |,
CAP-004,C2 Prediction Plane,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,advisory,probabilistic,write,unknown,unknown,platform,,True,5,False,0,False,0,True,0,False,| LCAP-004 | SUB-011 | Agent Memory Operations | Internal system behavior |,
CAP-005,Founder Console,FIRST_CLASS,active,pre-PIN-326,HIGH,FOUNDER,UI,control,mixed,control,unknown,unknown,founder,,True,25,False,0,False,0,True,0,False,| LCAP-005 | SUB-012 | Agent Message Queue | Internal system behavior |,
CAP-006,Authentication,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-006 | SUB-013 | Blackboard Shared State | Internal system behavior |,"Internal-only, no user exposure"
CAP-007,Authorization (RBAC v2),FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-007 | SUB-014 | Agent Job Distribution | Internal system behavior |,"Internal-only, no user exposure"
CAP-008,M12 Multi-Agent Orchestration,FIRST_CLASS,active,pre-PIN-326,MEDIUM,SDK,SDK,engine,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-008 | SUB-015 | Agent Registration | Internal system behavior |,
CAP-009,M19 Policy Engine,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,engine,mixed,write,unknown,unknown,platform,,True,9,False,0,False,0,True,0,False,| LCAP-009 | SUB-016 | Agent Credits Management | Internal system behavior |,
CAP-010,M17 CARE-L Routing,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,probabilistic,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,Agent Autonomy capabilities (LCAP-001 to LCAP-010) are internal system behavior that should never be user-invokable. They are reclassified as SUBSTRATE.,"Internal-only, no user exposure"
